,created_at,positive,neutral,negative,count
2,2021-10-14 05,0.219,0.781,0.0,1
3,2021-10-14 11,0.0,0.9920769230769231,0.007923076923076923,13
4,2021-10-14 12,0.024399999999999998,0.9756,0.0,10
5,2021-10-14 13,0.0,1.0,0.0,14
6,2021-10-14 14,0.0,1.0,0.0,6
7,2021-10-14 15,0.00042857142857142855,0.9992047619047619,0.00036666666666666667,210
8,2021-10-14 16,0.005515463917525773,0.9944845360824742,0.0,97
9,2021-10-14 17,0.002890909090909091,0.997109090909091,0.0,55
10,2021-10-14 18,0.0,1.0,0.0,29
11,2021-10-14 19,0.0,1.0,0.0,33
12,2021-10-14 20,0.0,1.0,0.0,27
13,2021-10-14 21,0.0,1.0,0.0,10
14,2021-10-14 22,0.0219,0.9781000000000001,0.0,10
15,2021-10-14 23,0.0,1.0,0.0,11
0,2021-10-15 00,0.018083333333333333,0.9819166666666667,0.0,12
1,2021-10-15 01,0.0,1.0,0.0,10
2,2021-10-15 02,0.01742857142857143,0.9825714285714285,0.0,14
3,2021-10-15 03,0.0,1.0,0.0,8
4,2021-10-15 04,0.0,1.0,0.0,7
5,2021-10-15 05,0.0,1.0,0.0,7
6,2021-10-15 06,0.0,1.0,0.0,6
7,2021-10-15 07,0.0,1.0,0.0,5
8,2021-10-15 08,0.0,1.0,0.0,2
9,2021-10-15 09,0.0,1.0,0.0,7
10,2021-10-15 10,0.012125,0.9878750000000001,0.0,8
11,2021-10-15 11,0.0,1.0,0.0,5
12,2021-10-15 12,0.0,1.0,0.0,1
13,2021-10-15 13,0.0,1.0,0.0,6
14,2021-10-15 14,0.0,1.0,0.0,4
15,2021-10-15 15,0.0,1.0,0.0,1
16,2021-10-15 16,0.0,1.0,0.0,1
17,2021-10-15 17,0.05011111111111111,0.9498888888888888,0.0,9
18,2021-10-15 18,0.0412,0.9588000000000001,0.0,5
19,2021-10-15 19,0.0,1.0,0.0,4
20,2021-10-15 20,0.0,1.0,0.0,1
21,2021-10-15 21,0.0,1.0,0.0,4
22,2021-10-15 22,0.0,1.0,0.0,2
23,2021-10-15 23,0.0,1.0,0.0,2
0,2021-10-18 03,0.1366666666666667,0.758,0.10533333333333333,3
1,2021-10-18 04,0.16949999999999998,0.7743333333333333,0.056666666666666664,6
2,2021-10-18 05,0.13514285714285715,0.8311428571428572,0.03428571428571429,7
3,2021-10-18 08,0.0475,0.931,0.0215,2
4,2021-10-18 09,0.0,1.0,0.0,4
5,2021-10-18 10,0.0,1.0,0.0,1
6,2021-10-18 11,0.0,0.7519999999999999,0.248,3
7,2021-10-18 12,0.02081818181818182,0.7553636363636363,0.22390909090909086,11
8,2021-10-18 14,0.057999999999999996,0.7526666666666667,0.18933333333333333,3
9,2021-10-18 15,0.09159999999999999,0.7852,0.12319999999999998,5
10,2021-10-18 16,0.0165,0.735,0.24849999999999997,8
11,2021-10-18 17,0.11028571428571429,0.8897142857142857,0.0,14
12,2021-10-18 18,0.10700000000000001,0.893,0.0,4
13,2021-10-18 19,0.116,0.884,0.0,1
14,2021-10-18 20,0.03866666666666667,0.9613333333333333,0.0,3
15,2021-10-18 21,0.116,0.884,0.0,1
16,2021-10-18 22,0.0,0.716,0.284,1
0,2021-10-19 00,0.06333333333333334,0.9366666666666666,0.0,3
1,2021-10-19 03,0.0,0.577,0.42300000000000004,2
2,2021-10-19 04,0.116,0.884,0.0,1
3,2021-10-19 11,0.233,0.695,0.072,1
4,2021-10-19 12,0.116,0.884,0.0,1
5,2021-10-19 13,0.11233333333333333,0.8876666666666667,0.0,3
6,2021-10-19 14,0.08233333333333333,0.879,0.03866666666666667,3
7,2021-10-19 15,0.058,0.89,0.052,2
8,2021-10-19 16,0.0338,0.9454,0.0208,5
9,2021-10-19 17,0.037,0.805,0.158,1
10,2021-10-19 18,0.2713333333333333,0.7286666666666667,0.0,3
11,2021-10-19 22,0.116,0.884,0.0,1
12,2021-10-19 23,0.276,0.724,0.0,1
0,2021-10-20 11,0.0,1.0,0.0,1
1,2021-10-20 13,0.0,1.0,0.0,2
2,2021-10-20 15,0.0,1.0,0.0,1
3,2021-10-20 18,0.16,0.84,0.0,1
0,2021-10-21 00,0.4875,0.493,0.0195,2
